,name,rating,reviews,Company_type,Head_quater,highly_rated,critically_rated
0,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
1,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
2,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
3,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
4,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
5,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
6,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
7,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
8,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
9,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
10,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
11,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
12,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
13,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
14,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
15,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
16,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
17,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
18,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
19,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
20,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
21,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
22,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
23,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
24,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
25,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
26,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
27,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
28,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
29,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
30,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
31,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
32,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
33,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
34,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
35,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
36,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
37,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
38,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
39,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
40,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
41,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
42,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
43,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
44,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
45,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
46,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
47,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
48,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
49,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
50,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
51,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
52,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
53,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
54,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
55,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
56,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
57,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
58,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
59,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
60,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
61,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
62,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
63,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
64,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
65,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
66,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
67,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
68,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
69,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
70,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
71,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
72,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
73,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
74,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
75,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
76,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
77,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
78,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
79,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
80,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
81,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
82,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
83,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
84,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
85,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
86,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
87,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
88,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
89,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
90,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
91,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
92,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
93,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
94,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
95,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
96,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
97,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
98,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
99,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
100,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
101,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
102,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
103,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
104,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
105,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
106,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
107,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
108,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
109,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
110,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
111,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
112,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
113,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
114,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
115,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
116,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
117,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
118,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
119,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
120,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
121,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
122,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
123,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
124,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
125,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
126,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
127,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
128,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
129,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
130,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
131,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
132,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
133,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
134,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
135,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
136,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
137,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
138,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
139,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
140,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
141,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
142,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
143,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
144,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
145,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
146,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
147,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
148,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
149,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
150,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
151,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
152,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
153,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
154,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
155,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
156,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
157,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
158,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
159,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
160,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
161,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
162,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
163,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
164,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
165,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
166,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
167,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
168,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
169,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
170,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
171,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
172,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
173,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
174,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
175,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
176,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
177,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
178,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
179,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
180,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
181,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
182,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
183,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
184,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
185,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
186,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
187,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
188,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
189,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
190,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
191,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
192,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
193,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
194,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
195,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
196,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
197,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
198,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
199,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
200,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
201,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
202,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
203,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
204,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
205,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
206,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
207,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
208,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
209,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
210,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
211,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
212,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
213,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
214,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
215,Amazon,3.9,(32.5k),Internet, Bengaluru ,"Company Culture, Work Life Balance, Salary","Company Culture, Work Life Balance, Salary"
216,Reliance Retail,3.9,(27.8k),Retail, Mumbai ,"Job Security, Skill Development, Work Life Balance","Job Security, Skill Development, Work Life Balance"
217,iEnergizer,4.6,(27.6k),BPO, Noida ,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
218,LTM Limited,3.6,(27.2k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
219,HDB Financial Services,3.9,(26.3k),NBFC, Mumbai ,"Promotions, Salary","Promotions, Salary"
220,TCS,3.3,(1.2L),IT, Bengaluru ,Job Security,Job Security
221,Accenture,3.7,(75.4k),IT, Bengaluru ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
222,Wipro,3.6,(66.5k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
223,Cognizant,3.7,(62.8k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
224,Capgemini,3.6,(54.9k),IT, Bengaluru ,"Work Life Balance, Job Security","Work Life Balance, Job Security"
225,HDFC Bank,3.8,(54k),Banking, Mumbai ,Job Security,Job Security
226,Infosys,3.5,(50k),IT, Bengaluru ,Job Security,Job Security
227,HCLTech,3.4,(47.1k),IT, Chennai ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
228,ICICI Bank,3.9,(46.8k),Banking, Mumbai ,"Job Security, Promotions, Skill Development","Job Security, Promotions, Skill Development"
229,Tech Mahindra,3.3,(44.4k),IT, Hyderabad ,"Promotions, Salary, Work Satisfaction","Promotions, Salary, Work Satisfaction"
230,Genpact,3.6,(43.5k),Analytics, Hyderabad ,Job Security,Job Security
231,TP,3.9,(39.8k),BPO, Mumbai ,"Work Life Balance, Job Security, Skill Development","Work Life Balance, Job Security, Skill Development"
232,Axis Bank,3.6,(34.2k),Banking, Mumbai ,"Promotions, Work Satisfaction, Company Culture","Promotions, Work Satisfaction, Company Culture"
233,Jio,4.4,(34.1k),Telecom, Mumbai ,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
234,Concentrix Corporation,3.5,(33k),BPO, Bengaluru ,Job Security,Job Security
